layout_id,layout_name,trans_types,pos,len,field,desc
3.1.7,連動結帳交易 (交易別 51),51,210,3,FISC_Refund_Count,金融卡退貨筆數
3.1.7,連動結帳交易 (交易別 51),51,213,4,FISC_Host_Resp_Code,金融卡主機回應碼
3.1.7,連動結帳交易 (交易別 51),51,217,4,NP_ECR_Response_Code,收銀機通訊回應碼 (NP)
3.1.7,連動結帳交易 (交易別 51),51,221,12,NP_Sale_Amount,全國性繳費銷售總金額
3.1.7,連動結帳交易 (交易別 51),51,233,3,NP_Sale_Count,全國性繳費銷貨筆數
3.1.7,連動結帳交易 (交易別 51),51,236,4,NP_Host_Resp_Code_F39,全國性繳費主機回應碼 (F39)
3.1.7,連動結帳交易 (交易別 51),51,240,4,NP_Host_Resp_Code_F57,全國性繳費主機回應碼 (F57)
3.1.7,連動結帳交易 (交易別 51),51,244,4,INST_ECR_Response_Code,收銀機通訊回應碼 (INST)
3.1.7,連動結帳交易 (交易別 51),51,248,12,INST_Sale_Amount,分期銷售總金額
3.1.7,連動結帳交易 (交易別 51),51,260,12,INST_Refund_Amount,分期退貨總金額
3.1.7,連動結帳交易 (交易別 51),51,272,3,INST_Sale_Count,分期銷貨筆數
3.1.7,連動結帳交易 (交易別 51),51,275,3,INST_Refund_Count,分期退貨筆數
3.1.7,連動結帳交易 (交易別 51),51,278,4,INST_Host_Resp_Code,分期主機回應碼
3.1.7,連動結帳交易 (交易別 51),51,282,4,AE_ECR_Response_Code,收銀機通訊回應碼 (AE)
3.1.7,連動結帳交易 (交易別 51),51,286,12,AE_Sale_Amount,美國運通銷售總金額
3.1.7,連動結帳交易 (交易別 51),51,298,12,AE_Refund_Amount,美國運通退貨總金額
3.1.7,連動結帳交易 (交易別 51),51,310,3,AE_Sale_Count,美國運通銷貨筆數
3.1.7,連動結帳交易 (交易別 51),51,313,3,AE_Refund_Count,美國運通退貨筆數
3.1.7,連動結帳交易 (交易別 51),51,316,4,AE_Host_Resp_Code,美國運通主機回應碼
3.1.7,連動結帳交易 (交易別 51),51,320,4,CMAS_ECR_Response_Code,收銀機通訊回應碼 (CMAS)
3.1.7,連動結帳交易 (交易別 51),51,324,12,CMAS_Sale_Amount,悠遊卡銷售總金額
3.1.7,連動結帳交易 (交易別 51),51,336,12,CMAS_Refund_Amount,悠遊卡退貨總金額
3.1.7,連動結帳交易 (交易別 51),51,348,3,CMAS_Sale_Count,悠遊卡銷貨筆數
3.1.7,連動結帳交易 (交易別 51),51,351,3,CMAS_Refund_Count,悠遊卡退貨筆數
3.1.7,連動結帳交易 (交易別 51),51,354,4,CMAS_Host_Resp_Code,悠遊卡主機回應碼
3.1.7,連動結帳交易 (交易別 51),51,358,243,Filler,保留
3.1.8,主機帳務回傳 (交易別 11),11,1,2,Trans_Type,交易別
3.1.8,主機帳務回傳 (交易別 11),11,3,2,DINES,大來卡 (代號 00)
3.1.8,主機帳務回傳 (交易別 11),11,5,12,DINES_Sale_Amount,銷售總金額 (含小費)
3.1.8,主機帳務回傳 (交易別 11),11,17,12,DINES_Refund_Amount,退貨總金額
3.1.8,主機帳務回傳 (交易別 11),11,29,12,DINES_Void_Amount,取消總金額
3.1.8,主機帳務回傳 (交易別 11),11,41,3,DINES_Sale_Count,銷貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,44,3,DINES_Refund_Count,退貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,47,3,DINES_Void_Count,取消筆數
3.1.8,主機帳務回傳 (交易別 11),11,50,2,AE,美國運通卡 (代號 01)
3.1.8,主機帳務回傳 (交易別 11),11,52,12,AE_Sale_Amount,銷售總金額 (含小費)
3.1.8,主機帳務回傳 (交易別 11),11,64,12,AE_Refund_Amount,退貨總金額
3.1.8,主機帳務回傳 (交易別 11),11,76,12,AE_Void_Amount,取消總金額
3.1.8,主機帳務回傳 (交易別 11),11,88,3,AE_Sale_Count,銷貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,91,3,AE_Refund_Count,退貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,94,3,AE_Void_Count,取消筆數
3.1.8,主機帳務回傳 (交易別 11),11,97,2,TCB,合庫 (代號 02)
3.1.8,主機帳務回傳 (交易別 11),11,99,12,TCB_Sale_Amount,銷售總金額 (含小費)
3.1.8,主機帳務回傳 (交易別 11),11,111,12,TCB_Refund_Amount,退貨總金額
3.1.8,主機帳務回傳 (交易別 11),11,123,12,TCB_Void_Amount,取消總金額
3.1.8,主機帳務回傳 (交易別 11),11,135,3,TCB_Sale_Count,銷貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,138,3,TCB_Refund_Count,退貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,141,3,TCB_Void_Count,取消筆數
3.1.8,主機帳務回傳 (交易別 11),11,144,2,FISC,金融卡 (代號 03)
3.1.8,主機帳務回傳 (交易別 11),11,146,12,FISC_Sale_Amount,銷售總金額 (含小費)
3.1.8,主機帳務回傳 (交易別 11),11,158,12,FISC_Refund_Amount,退貨總金額
3.1.8,主機帳務回傳 (交易別 11),11,170,12,FISC_Void_Amount,取消總金額
3.1.8,主機帳務回傳 (交易別 11),11,182,3,FISC_Sale_Count,銷貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,185,3,FISC_Refund_Count,退貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,188,3,FISC_Void_Count,取消筆數
